"Model","RSS","AIC","s","AIC_difference"
"Null",30894.5596345613,28321.6656338608,2.19299801454674,28098.6556277653
"Model1",209.892609087799,310.991938034846,1.61977085218789,87.981931939397
"Model1_plus",11211.0811976947,21813.8018687002,1.32126094643915,21590.7918626047
"Model2",10832.9647827347,21593.4014835857,1.29878874066926,21370.3914774902
"Model2_plus",67.425049822657,223.010006095449,0.92974389789613,0
"Model3",113.606330566444,263.269538606374,1.19918923331422,40.2595325109245
