"Model","Parameter","Value"
"Model1","b",0.45122936231471
"Model1_plus","b",0.408447211512014
"Model1_plus","d",1.49282774762802
"Model2","a",1.92528033779491
"Model2","b",0.25552679003554
"Model2_plus","a",486.113697892622
"Model2_plus","b",0.00222426004774631
"Model2_plus","d",-485.114085883484
"Model3","a",4.07586457110248
"Model3","c",0.00286503187739161
