"Model","RSS","AIC","s","AIC_difference"
"Null",1269.99174949325,5888.48769796044,0.656018134748338,5719.23341784364
"Model1",125.599783510018,280.63020584662,1.21558402090623,111.375925729824
"Model1_plus",39.1871200557675,182.461498794162,0.683017813821303,13.2072186773659
"Model2",36.0961405209066,175.395551834094,0.655527237101725,6.14127171729828
"Model2_plus",32.8358201957476,169.254280116796,0.628977178850736,0
"Model3",53.5337669731716,209.290444967082,0.798314943916631,40.0361648502856
