"Model","Parameter","Value"
"Model1","b",0.579510561631879
"Model1_plus","b",0.382889347510747
"Model1_plus","d",2.00171975136931
"Model2","a",2.40113202246635
"Model2","b",0.207003455104798
"Model2_plus","a",355.92367746219
"Model2_plus","b",0.00263605419800816
"Model2_plus","d",-354.233958430444
"Model3","a",3.60913848325573
"Model3","c",0.00864044280217841
