"Model","Parameter","Value"
"Model1","b",0.652065244280364
"Model1_plus","b",0.502459874356485
"Model1_plus","d",1.56657861612459
"Model2","a",1.86772370130952
"Model2","b",0.315833231613388
"Model2_plus","a",295.554838396439
"Model2_plus","b",0.00461802986822498
"Model2_plus","d",-294.777886455906
"Model3","a",4.43364565360242
"Model3","c",0.00852019900949128
