"Model","Parameter","Value"
"Model1","b",0.52669683579742
"Model1_plus","b",0.370260046650516
"Model1_plus","d",2.49657976304408
"Model2","a",2.72594541636151
"Model2","b",0.194769109163058
"Model2_plus","a",253.793042608915
"Model2_plus","b",0.00406542609734328
"Model2_plus","d",-251.975240545731
"Model3","a",4.51995643793588
"Model3","c",0.00418931626567446
