"Model","Parameter","Value"
"Model1","b",0.512717769562728
"Model1_plus","b",0.362022178337524
"Model1_plus","d",2.23156571232684
"Model2","a",2.54046348773065
"Model2","b",0.196457800049552
"Model2_plus","a",208.77236944833
"Model2_plus","b",0.00463476817845131
"Model2_plus","d",-207.073937355285
"Model3","a",4.13819722971601
"Model3","c",0.0047290896376456
