"Model","Parameter","Value"
"Model1","b",0.531044015791237
"Model1_plus","b",0.336397870723035
"Model1_plus","d",2.10039507834112
"Model2","a",2.54860012540172
"Model2","b",0.175106490995752
"Model2_plus","a",306.798043860259
"Model2_plus","b",0.00257790746718519
"Model2_plus","d",-304.840715078981
"Model3","a",3.72356016109636
"Model3","c",0.00595383708797326
