"Model","RSS","AIC","s","AIC_difference"
"Null",1001.03555891083,6285.64884915395,0.407916092331234,6239.69650195233
"Model1",62.5060752426052,171.015104605066,1.05649416233433,125.062757403441
"Model1_plus",10.2668617809996,70.0535906478617,0.432053485346425,24.1012434462365
"Model2",8.47233719086435,59.1030357820857,0.392482476525197,13.1506885804605
"Model2_plus",6.49481946724701,45.9523472016252,0.346806047494343,0
"Model3",17.4003349200389,100.124969414623,0.562467533124258,54.1726222129981
