"Model","Parameter","Value"
"Model1","b",0.511364088635123
"Model1_plus","b",0.363255731270314
"Model1_plus","d",2.22438956591426
"Model2","a",2.51727310467636
"Model2","b",0.199250306135066
"Model2_plus","a",218.115939799375
"Model2_plus","b",0.00453582296553965
"Model2_plus","d",-216.488303720356
"Model3","a",4.23606763982125
"Model3","c",0.00422408686168229
