"Model","Parameter","Value"
"Model1","b",0.614970326243564
"Model1_plus","b",0.450223375173224
"Model1_plus","d",1.9389807081923
"Model2","a",2.22609146327804
"Model2","b",0.258358688728635
"Model2_plus","a",287.755507518633
"Model2_plus","b",0.00421145423093239
"Model2_plus","d",-286.504995501832
"Model3","a",3.64097006058401
"Model3","c",0.0115069784512178
