"vertices" "degree_2nd_moment" "mean_length"
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
4 3 2
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 2.5 1
4 2.5 1.66667
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 3 2
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 3 2
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 3 2
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 2
5 4 1.75
5 4 1.75
5 2.8 1
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 2.8 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 2
5 4 1.75
5 3.2 2
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 4 1.75
5 3.2 2
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 4 2.5
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 3.2 2
5 4 1.75
5 3.2 2
5 4 1.75
5 3.2 2
5 4 1.75
5 4 1.75
5 3.2 2
5 4 1.75
5 4 1.75
5 3.2 1.5
5 4 2.5
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 4 1.75
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 3.2 2.25
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 2
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 3.2 2
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 2
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 2.8 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
6 5 2.2
6 4 1.8
6 5 2.2
6 4 1.8
6 3.33333 2
6 3.33333 2.2
6 4 1.8
6 5 2.2
6 3.33333 1.4
6 3.33333 1.4
6 3.33333 2.2
6 5 2.2
6 5 2.2
6 3.33333 1.4
6 3.66667 2.2
6 3.66667 1.8
6 4 1.8
6 3.66667 1.8
6 4 1.6
6 3.33333 1.4
6 3.33333 1.6
6 4 2
6 4 1.6
6 5 2.2
6 5 2.2
6 5 2.2
6 3.66667 1.8
6 4 1.6
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.4
6 4 2
6 4 1.6
6 5 2.2
6 3.33333 1.6
6 4 2.4
6 4 1.8
6 4 1.6
6 4 1.6
6 5 2.2
6 4 1.8
6 4 1.8
6 4 2
6 3.33333 1.6
6 3.66667 1.8
6 4 1.8
6 4 1.8
6 3.66667 1.8
6 3.33333 1.2
6 4 2
6 4 1.8
6 4 1.8
6 5 2.2
6 3.66667 2.2
6 3.33333 1.4
6 4 1.8
6 3.66667 1.4
6 5 2.2
6 4 1.8
6 3.33333 1.6
6 4 1.8
6 4 1.8
6 3.33333 1.4
6 3.66667 1.8
6 4 1.8
6 3.33333 1.8
6 5 2.2
6 4 1.6
6 4 1.6
6 4 1.6
6 3.66667 1.8
6 3.66667 2.2
6 3.33333 2.2
6 3.66667 1.8
6 5 2.2
6 3.33333 1.6
6 4 2
6 3.66667 1.4
6 3.33333 1.6
6 3.33333 2
6 3.66667 1.4
6 3.33333 1.4
6 4 1.8
6 5 2.2
6 5 2.2
6 4 1.8
6 4 2
6 3.33333 1.6
6 4 2
6 4 1.8
6 4 2.4
6 3.33333 1.2
6 5 2.2
6 3.66667 1.8
6 4 2
6 4 1.8
6 3.33333 1.4
6 4 2
6 4 1.8
6 4 1.6
6 4 1.8
6 4 1.8
6 4 1.6
6 3.33333 1.4
6 4 2.4
6 4 1.8
6 4 1.6
6 4 1.8
6 4 1.8
6 4 1.8
6 4 1.8
6 3.66667 1.4
6 3.66667 1.8
6 4 1.8
6 4 1.8
6 3.66667 1.8
6 3.33333 1.6
6 4 1.8
6 4 1.8
6 3.33333 2
6 3.66667 1.8
6 4 2
6 3.33333 1.6
6 4 1.8
6 5 2.2
6 4 1.8
6 5 2.2
6 5 2.2
6 5 2.2
6 3.33333 1.4
6 4 2
7 3.42857 1.33333
7 3.71429 1.5
7 4.28571 2.5
7 4.85714 2.5
7 6 2.66667
7 4.28571 2.16667
7 4.85714 2.16667
7 4 2.33333
7 4 1.66667
7 3.71429 1.66667
7 4 1.66667
7 4 1.83333
7 6 2.66667
7 3.71429 2.5
7 4 2.66667
7 3.71429 1.33333
7 4.28571 2
7 4.28571 1.66667
7 4 2.33333
7 4.28571 2.16667
7 4.28571 2
7 3.71429 2.16667
7 3.71429 2.16667
7 3.71429 2.16667
7 4.28571 2.16667
7 6 2.66667
7 4 2
7 4.28571 2
7 3.71429 2
7 3.42857 1.33333
7 6 2.66667
7 4.85714 2.5
7 4 1.66667
7 4.85714 2.33333
7 4.85714 2
7 4.85714 2.16667
7 4.28571 2
7 4.85714 2
7 3.71429 1.83333
7 4.28571 2
7 4 1.83333
7 4.85714 2.5
7 4.28571 1.66667
7 4.85714 2.16667
7 6 2.66667
7 4.28571 2.33333
7 3.42857 1.33333
7 4.85714 3
7 3.71429 1.33333
7 4.28571 1.66667
7 6 2.66667
7 3.71429 2.66667
7 4.85714 2.16667
7 4.85714 2.16667
7 4 1.83333
7 4 1.66667
7 4.28571 2
7 3.71429 1.5
7 4.28571 2.5
7 4.28571 2
7 4 1.83333
7 4.28571 2.16667
7 3.42857 1.33333
7 4 1.83333
7 4 1.66667
7 4.85714 2.5
7 4.85714 2.16667
7 4.85714 2
7 3.71429 1.5
7 3.71429 1.66667
7 3.71429 1.66667
7 4 1.83333
7 4.85714 2.16667
7 4 2
7 6 2.66667
7 3.71429 1.66667
7 4 1.83333
7 4 1.66667
7 6 2.66667
7 4.85714 2
7 3.71429 1.66667
7 3.71429 1.83333
7 4.85714 2.16667
7 4 2
7 4 1.66667
7 4.28571 1.66667
7 4.28571 2
7 4.85714 2.16667
7 6 3.5
7 4.28571 2
7 4.85714 2.16667
7 4.28571 2.5
7 4 1.66667
7 4 1.66667
7 4.28571 2
7 4 1.83333
7 6 2.66667
7 4.28571 2.33333
7 3.71429 1.66667
7 4.85714 2.33333
7 6 2.66667
7 4.85714 2.33333
7 3.42857 1.16667
7 4.85714 2.16667
7 4 1.83333
7 4 1.83333
7 4.28571 2.5
7 4 1.5
7 4 1.83333
7 4.85714 2.16667
7 3.42857 1.33333
7 4 2
7 4.28571 2
7 4 2
7 4.85714 2.16667
7 3.71429 1.83333
7 6 2.66667
7 4 1.83333
7 4.85714 2.5
7 4.28571 2
7 4 1.83333
7 4.85714 2
7 6 2.66667
7 3.42857 1.33333
7 4.85714 2
7 3.71429 1.5
7 4.85714 2.16667
7 4 1.66667
7 4.85714 2.16667
7 4.85714 2.16667
7 4 1.66667
7 4 2
7 4 1.66667
7 4 1.83333
7 3.42857 1.5
7 3.71429 1.5
7 4.85714 2.16667
7 3.71429 1.5
7 4.85714 2.16667
7 4 1.83333
7 4 1.83333
7 4 2
7 4 2
7 4.85714 2.16667
7 4 2
7 6 2.66667
7 4 2
7 4.85714 2.5
7 4.28571 3
7 4.28571 2
7 4 2.16667
7 3.42857 1.33333
7 3.71429 2.16667
7 4.28571 2
7 3.71429 1.83333
7 4 1.66667
7 4.28571 2
7 4 1.66667
7 4 1.66667
7 4 1.5
7 4 2
8 4 2
8 4 1.57143
8 4.25 2.14286
8 7 3.14286
8 4.75 2.71429
8 4.75 3
8 5.75 2.57143
8 4.25 2
8 5.75 2.42857
8 4.25 2
8 3.75 1.42857
8 5 2.85714
8 5.75 3
8 4.25 2.14286
8 4.75 2.42857
8 5 2.28571
8 3.75 1.28571
8 4.25 2.42857
8 4.25 2
8 4.75 2.71429
8 4.25 2
8 5.75 3
8 4.75 3
8 4.25 2.14286
8 4.25 2
8 4 2
8 4.75 1.85714
8 5.75 2.57143
8 4 1.71429
8 4.25 2.85714
8 4 1.71429
8 4 2.28571
8 4.25 2.42857
8 4.25 1.85714
8 4.25 2
8 4.25 2.57143
8 5 2
8 3.75 2
8 3.75 1.57143
8 4.25 2.14286
8 4.25 2.42857
8 4.25 1.85714
8 4 1.85714
8 4.25 2.14286
8 4 2
8 4.75 2.14286
8 4.75 2.14286
8 5 2.28571
8 3.75 1.42857
8 4.75 2.14286
8 4.75 2
8 4.75 2.28571
8 4 2
8 4.25 2
8 5.75 2.57143
8 7 3.14286
8 4 2.28571
8 4 1.42857
8 5 2.28571
8 4.25 2.57143
8 4.25 2.85714
8 4 1.71429
8 4 1.71429
8 3.75 2.71429
8 3.5 1.14286
8 4.75 3.14286
8 4 1.42857
8 5.75 2.57143
8 4 1.71429
8 4.25 1.71429
8 4.25 2.42857
8 5 2
8 4.75 3
8 4 1.85714
